ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,National Code,Example 1,Example 2,Year,Season,Sport,Event,Medal
278,Mohamed Abdul Hadj,MALE,25,18-25,NULL,NULL,MAS,4,6,1992,Summer,Hockey,Hockey Men's Hockey,Not Registered
279,Jefri Kiko Bolkiah Abdul Hakeem,MALE,23,18-25,172,90,BRU,4,6,1996,Summer,Shooting,Shooting Men's Skeet,Not Registered
279,Jefri Kiko Bolkiah Abdul Hakeem,MALE,27,25-30,172,90,BRU,4,6,2000,Summer,Shooting,Shooting Men's Skeet,Not Registered
280,Mohamed Abdul Hamid,MALE,19,18-25,175,55,SUD,4,6,2000,Summer,Swimming,Swimming Men's 50 metres Freestyle,Not Registered
281,S. Abdul Hamid,MALE,NULL,NULL,NULL,NULL,IND,4,6,1928,Summer,Athletics,Athletics Men's 110 metres Hurdles,Not Registered
281,S. Abdul Hamid,MALE,NULL,NULL,NULL,NULL,IND,4,6,1928,Summer,Athletics,Athletics Men's 400 metres Hurdles,Not Registered
282,Hadi Abdul Jabbar,MALE,30,25-30,180,117.5,IRQ,4,6,1960,Summer,Weightlifting,Weightlifting Men's Heavyweight,Not Registered
282,Hadi Abdul Jabbar,MALE,34,Over 30,180,117.5,IRQ,4,6,1964,Summer,Weightlifting,Weightlifting Men's Heavyweight,Not Registered
283,Mohamed Abed Abdul Jawad,MALE,22,18-25,169,65,KSA,4,6,1984,Summer,Football,Football Men's Football,Not Registered
284,Anouar Abdul Kader,MALE,27,25-30,NULL,NULL,SYR,4,6,1980,Summer,Football,Football Men's Football,Not Registered
285,Talal Hassoun Abdul Kader,MALE,NULL,NULL,NULL,82,IRQ,4,6,1980,Summer,Weightlifting,Weightlifting Men's Light-Heavyweight,Not Registered
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,MALE,23,18-25,169,60,KUW,4,6,1976,Summer,Athletics,Athletics Men's 200 metres,Not Registered
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,MALE,23,18-25,169,60,KUW,4,6,1976,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Not Registered
287,Taha Abdul Karim,MALE,20,18-25,156,59,IRQ,4,6,1960,Summer,Boxing,Boxing Men's Lightweight,Not Registered
288,Masoud Abdul Khamis Al-Rahman,MALE,17,Under 18,176,68,QAT,4,6,1992,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Not Registered
